timestamp_utc,timestamp_local,hb_normalized_kwh,gb_normalized_kwh,lb_normalized_kwh
2024-01-01T08:15:00Z,2024-01-01T09:15:00+01:00,41.422,13.369,54.495
2024-01-01T08:30:00Z,2024-01-01T09:30:00+01:00,44.737,14.114,51.504
2024-01-01T08:45:00Z,2024-01-01T09:45:00+01:00,47.712,14.86,48.039
2024-01-01T09:00:00Z,2024-01-01T10:00:00+01:00,50.376,15.555,44.598
2024-01-01T09:15:00Z,2024-01-01T10:15:00+01:00,52.824,16.177,41.632
2024-01-01T09:30:00Z,2024-01-01T10:30:00+01:00,55.147,16.699,39.413
2024-01-01T09:45:00Z,2024-01-01T10:45:00+01:00,57.502,17.171,38.341
2024-01-01T10:00:00Z,2024-01-01T11:00:00+01:00,59.888,17.593,38.541
2024-01-01T10:15:00Z,2024-01-01T11:15:00+01:00,62.149,17.941,39.438
2024-01-01T10:30:00Z,2024-01-01T11:30:00+01:00,64.008,18.264,40.261
2024-01-01T10:45:00Z,2024-01-01T11:45:00+01:00,65.247,18.562,40.186
2024-01-01T11:00:00Z,2024-01-01T12:00:00+01:00,65.619,18.885,38.69
2024-01-01T11:15:00Z,2024-01-01T12:15:00+01:00,65.123,19.208,36.247
2024-01-01T11:30:00Z,2024-01-01T12:30:00+01:00,63.791,19.482,33.505
2024-01-01T11:45:00Z,2024-01-01T12:45:00+01:00,61.622,19.73,31.161
2024-01-01T12:00:00Z,2024-01-01T13:00:00+01:00,58.741,19.904,29.765
2024-01-01T12:15:00Z,2024-01-01T13:15:00+01:00,55.364,20.004,29.142
2024-01-01T12:30:00Z,2024-01-01T13:30:00+01:00,51.832,19.954,28.943
2024-01-01T12:45:00Z,2024-01-01T13:45:00+01:00,48.486,19.73,28.868
2024-01-01T13:00:00Z,2024-01-01T14:00:00+01:00,45.543,19.333,28.619
2024-01-01T13:15:00Z,2024-01-01T14:15:00+01:00,43.034,18.811,28.22
2024-01-01T13:30:00Z,2024-01-01T14:30:00+01:00,40.927,18.239,27.746
2024-01-01T13:45:00Z,2024-01-01T14:45:00+01:00,39.192,17.643,27.248
2024-01-01T14:00:00Z,2024-01-01T15:00:00+01:00,37.798,17.121,26.799
2024-01-01T14:15:00Z,2024-01-01T15:15:00+01:00,36.589,16.649,26.45
2024-01-01T14:30:00Z,2024-01-01T15:30:00+01:00,35.567,16.202,26.275
2024-01-01T14:45:00Z,2024-01-01T15:45:00+01:00,34.545,15.779,26.325
2024-01-01T15:00:00Z,2024-01-01T16:00:00+01:00,33.553,15.406,26.649
2024-01-01T15:15:00Z,2024-01-01T16:15:00+01:00,32.81,15.208,27.372
2024-01-01T15:30:00Z,2024-01-01T16:30:00+01:00,32.593,15.357,28.519
2024-01-01T15:45:00Z,2024-01-01T16:45:00+01:00,33.274,16.028,30.239
2024-01-01T16:00:00Z,2024-01-01T17:00:00+01:00,34.978,17.27,32.582
2024-01-01T16:15:00Z,2024-01-01T17:15:00+01:00,37.457,18.885,35.499
2024-01-01T16:30:00Z,2024-01-01T17:30:00+01:00,40.276,20.526,38.914
2024-01-01T16:45:00Z,2024-01-01T17:45:00+01:00,43.064,21.818,42.729
2024-01-01T17:00:00Z,2024-01-01T18:00:00+01:00,45.481,22.563,46.817
2024-01-01T17:15:00Z,2024-01-01T18:15:00+01:00,47.557,22.886,50.88
2024-01-01T17:30:00Z,2024-01-01T18:30:00+01:00,49.478,22.936,54.47
2024-01-01T17:45:00Z,2024-01-01T18:45:00+01:00,51.306,22.986,57.262
2024-01-01T18:00:00Z,2024-01-01T19:00:00+01:00,53.134,23.135,58.883
2024-01-01T18:15:00Z,2024-01-01T19:15:00+01:00,54.652,23.358,59.182
2024-01-01T18:30:00Z,2024-01-01T19:30:00+01:00,55.488,23.508,58.06
2024-01-01T18:45:00Z,2024-01-01T19:45:00+01:00,55.178,23.458,55.418
2024-01-01T19:00:00Z,2024-01-01T20:00:00+01:00,53.567,23.11,51.279
2024-01-01T19:15:00Z,2024-01-01T20:15:00+01:00,51.027,22.563,46.244
2024-01-01T19:30:00Z,2024-01-01T20:30:00+01:00,48.207,21.867,41.058
2024-01-01T19:45:00Z,2024-01-01T20:45:00+01:00,45.636,21.122,36.496
2024-01-01T20:00:00Z,2024-01-01T21:00:00+01:00,43.808,20.401,33.056
2024-01-01T20:15:00Z,2024-01-01T21:15:00+01:00,42.507,19.73,30.663
2024-01-01T20:30:00Z,2024-01-01T21:30:00+01:00,41.422,19.109,28.993
2024-01-01T20:45:00Z,2024-01-01T21:45:00+01:00,40.214,18.562,27.721
2024-01-01T21:00:00Z,2024-01-01T22:00:00+01:00,38.665,18.09,26.575
2024-01-01T21:15:00Z,2024-01-01T22:15:00+01:00,36.744,17.668,25.453
2024-01-01T21:30:00Z,2024-01-01T22:30:00+01:00,34.576,17.22,24.331
2024-01-01T21:45:00Z,2024-01-01T22:45:00+01:00,32.221,16.723,23.084
2024-01-01T22:00:00Z,2024-01-01T23:00:00+01:00,29.804,16.152,21.738
2024-01-01T22:15:00Z,2024-01-01T23:15:00+01:00,27.388,15.555,20.342
2024-01-01T22:30:00Z,2024-01-01T23:30:00+01:00,25.002,15.009,19.071
2024-01-01T22:45:00Z,2024-01-01T23:45:00+01:00,22.679,14.636,18.024
2024-01-01T23:00:00Z,2024-01-02T00:00:00+01:00,20.975,16.276,18.049
2024-01-01T23:15:00Z,2024-01-02T00:15:00+01:00,18.866,15.555,17.301
2024-01-01T23:30:00Z,2024-01-02T00:30:00+01:00,17.035,14.81,16.678
2024-01-01T23:45:00Z,2024-01-02T00:45:00+01:00,15.483,14.164,16.154
2024-01-02T00:00:00Z,2024-01-02T01:00:00+01:00,14.335,13.617,15.755
2024-01-02T00:15:00Z,2024-01-02T01:15:00+01:00,13.529,13.195,15.431
2024-01-02T00:30:00Z,2024-01-02T01:30:00+01:00,13.001,12.847,15.207
2024-01-02T00:45:00Z,2024-01-02T01:45:00+01:00,12.66,12.549,15.007
2024-01-02T01:00:00Z,2024-01-02T02:00:00+01:00,12.443,12.275,14.858
2024-01-02T01:15:00Z,2024-01-02T02:15:00+01:00,12.287,12.051,14.758
2024-01-02T01:30:00Z,2024-01-02T02:30:00+01:00,12.225,11.902,14.658
2024-01-02T01:45:00Z,2024-01-02T02:45:00+01:00,12.132,11.853,14.559
2024-01-02T02:00:00Z,2024-01-02T03:00:00+01:00,12.039,11.902,14.434
2024-01-02T02:15:00Z,2024-01-02T03:15:00+01:00,11.977,12.101,14.309
2024-01-02T02:30:00Z,2024-01-02T03:30:00+01:00,11.884,12.474,14.185
2024-01-02T02:45:00Z,2024-01-02T03:45:00+01:00,11.884,12.996,14.085
2024-01-02T03:00:00Z,2024-01-02T04:00:00+01:00,11.915,13.692,14.035
2024-01-02T03:15:00Z,2024-01-02T04:15:00+01:00,12.039,14.462,14.035
2024-01-02T03:30:00Z,2024-01-02T04:30:00+01:00,12.194,15.208,14.11
2024-01-02T03:45:00Z,2024-01-02T04:45:00+01:00,12.412,15.779,14.309
2024-01-02T04:00:00Z,2024-01-02T05:00:00+01:00,12.691,16.152,14.658
2024-01-02T04:15:00Z,2024-01-02T05:15:00+01:00,13.373,16.4,15.182
2024-01-02T04:30:00Z,2024-01-02T05:30:00+01:00,14.801,16.674,15.905
2024-01-02T04:45:00Z,2024-01-02T05:45:00+01:00,17.314,17.171,16.852
2024-01-02T05:00:00Z,2024-01-02T06:00:00+01:00,21.1,18.016,18.074
2024-01-02T05:15:00Z,2024-01-02T06:15:00+01:00,25.692,19.159,19.694
2024-01-02T05:30:00Z,2024-01-02T06:30:00+01:00,30.408,20.6,21.863
2024-01-02T05:45:00Z,2024-01-02T06:45:00+01:00,34.597,22.29,24.705
2024-01-02T06:00:00Z,2024-01-02T07:00:00+01:00,37.731,24.253,28.32
2024-01-02T06:15:00Z,2024-01-02T07:15:00+01:00,39.872,26.664,32.533
2024-01-02T06:30:00Z,2024-01-02T07:30:00+01:00,41.175,29.795,37.12
2024-01-02T06:45:00Z,2024-01-02T07:45:00+01:00,41.827,33.895,41.806
2024-01-02T07:00:00Z,2024-01-02T08:00:00+01:00,42.013,39.039,46.318
2024-01-02T07:15:00Z,2024-01-02T08:15:00+01:00,41.827,44.606,50.282
2024-01-02T07:30:00Z,2024-01-02T08:30:00+01:00,41.299,49.824,53.249
2024-01-02T07:45:00Z,2024-01-02T08:45:00+01:00,40.555,53.875,54.72
2024-01-02T08:00:00Z,2024-01-02T09:00:00+01:00,39.624,56.211,54.47
2024-01-02T08:15:00Z,2024-01-02T09:15:00+01:00,38.662,57.155,52.75
2024-01-02T08:30:00Z,2024-01-02T09:30:00+01:00,37.7,57.255,50.058
2024-01-02T08:45:00Z,2024-01-02T09:45:00+01:00,36.924,57.13,46.867
2024-01-02T09:00:00Z,2024-01-02T10:00:00+01:00,36.397,57.155,43.626
2024-01-02T09:15:00Z,2024-01-02T10:15:00+01:00,36.055,57.453,40.734
2024-01-02T09:30:00Z,2024-01-02T10:30:00+01:00,35.9,57.901,38.516
2024-01-02T09:45:00Z,2024-01-02T10:45:00+01:00,35.9,58.522,37.419
2024-01-02T10:00:00Z,2024-01-02T11:00:00+01:00,36.024,59.168,37.568
2024-01-02T10:15:00Z,2024-01-02T11:15:00+01:00,36.304,59.64,38.416
2024-01-02T10:30:00Z,2024-01-02T11:30:00+01:00,36.831,59.74,39.239
2024-01-02T10:45:00Z,2024-01-02T11:45:00+01:00,37.7,59.218,39.263
2024-01-02T11:00:00Z,2024-01-02T12:00:00+01:00,38.91,57.901,37.942
2024-01-02T11:15:00Z,2024-01-02T12:15:00+01:00,40.213,55.937,35.699
2024-01-02T11:30:00Z,2024-01-02T12:30:00+01:00,41.268,53.602,33.081
2024-01-02T11:45:00Z,2024-01-02T12:45:00+01:00,41.827,51.092,30.713
2024-01-02T12:00:00Z,2024-01-02T13:00:00+01:00,41.641,48.631,29.043
2024-01-02T12:15:00Z,2024-01-02T13:15:00+01:00,40.865,46.395,28.045
2024-01-02T12:30:00Z,2024-01-02T13:30:00+01:00,39.717,44.531,27.497
2024-01-02T12:45:00Z,2024-01-02T13:45:00+01:00,38.476,43.189,27.248
2024-01-02T13:00:00Z,2024-01-02T14:00:00+01:00,37.297,42.493,27.123
2024-01-02T13:15:00Z,2024-01-02T14:15:00+01:00,36.242,42.419,27.048
2024-01-02T13:30:00Z,2024-01-02T14:30:00+01:00,35.28,42.916,27.023
2024-01-02T13:45:00Z,2024-01-02T14:45:00+01:00,34.349,43.885,27.023
2024-01-02T14:00:00Z,2024-01-02T15:00:00+01:00,33.48,45.252,26.998
2024-01-02T14:15:00Z,2024-01-02T15:15:00+01:00,32.735,46.768,26.998
2024-01-02T14:30:00Z,2024-01-02T15:30:00+01:00,32.115,48.184,27.073
2024-01-02T14:45:00Z,2024-01-02T15:45:00+01:00,31.773,49.228,27.248
2024-01-02T15:00:00Z,2024-01-02T16:00:00+01:00,31.711,49.725,27.572
2024-01-02T15:15:00Z,2024-01-02T16:15:00+01:00,32.022,49.874,28.195
2024-01-02T15:30:00Z,2024-01-02T16:30:00+01:00,32.766,49.924,29.267
2024-01-02T15:45:00Z,2024-01-02T16:45:00+01:00,34.101,50.147,30.937
2024-01-02T16:00:00Z,2024-01-02T17:00:00+01:00,35.993,50.694,33.33
2024-01-02T16:15:00Z,2024-01-02T17:15:00+01:00,38.383,51.141,36.397
2024-01-02T16:30:00Z,2024-01-02T17:30:00+01:00,41.144,51.067,40.011
2024-01-02T16:45:00Z,2024-01-02T17:45:00+01:00,44.154,49.924,44.1
2024-01-02T17:00:00Z,2024-01-02T18:00:00+01:00,47.288,47.389,48.487
2024-01-02T17:15:00Z,2024-01-02T18:15:00+01:00,50.329,43.885,52.725
2024-01-02T17:30:00Z,2024-01-02T18:30:00+01:00,53.121,39.884,56.365
2024-01-02T17:45:00Z,2024-01-02T18:45:00+01:00,55.511,35.983,58.883
2024-01-02T18:00:00Z,2024-01-02T19:00:00+01:00,57.31,32.628,59.93
2024-01-02T18:15:00Z,2024-01-02T19:15:00+01:00,58.396,29.844,59.506
2024-01-02T18:30:00Z,2024-01-02T19:30:00+01:00,58.613,27.658,57.711
2024-01-02T18:45:00Z,2024-01-02T19:45:00+01:00,57.838,25.993,54.72
2024-01-02T19:00:00Z,2024-01-02T20:00:00+01:00,56.069,24.85,50.706
2024-01-02T19:15:00Z,2024-01-02T20:15:00+01:00,53.587,24.029,46.094
2024-01-02T19:30:00Z,2024-01-02T20:30:00+01:00,50.856,23.383,41.407
2024-01-02T19:45:00Z,2024-01-02T20:45:00+01:00,48.281,22.762,37.169
2024-01-02T20:00:00Z,2024-01-02T21:00:00+01:00,46.202,21.992,33.804
2024-01-02T20:15:00Z,2024-01-02T21:15:00+01:00,44.495,21.172,31.211
2024-01-02T20:30:00Z,2024-01-02T21:30:00+01:00,42.944,20.401,29.242
2024-01-02T20:45:00Z,2024-01-02T21:45:00+01:00,41.33,19.73,27.721
2024-01-02T21:00:00Z,2024-01-02T22:00:00+01:00,39.469,19.283,26.45
2024-01-02T21:15:00Z,2024-01-02T22:15:00+01:00,37.39,18.985,25.353
2024-01-02T21:30:00Z,2024-01-02T22:30:00+01:00,35.156,18.786,24.356
2024-01-02T21:45:00Z,2024-01-02T22:45:00+01:00,32.797,18.562,23.334
2024-01-02T22:00:00Z,2024-01-02T23:00:00+01:00,30.408,18.314,22.212
2024-01-02T22:15:00Z,2024-01-02T23:15:00+01:00,27.988,17.966,21.09
2024-01-02T22:30:00Z,2024-01-02T23:30:00+01:00,25.599,17.519,19.968
2024-01-02T22:45:00Z,2024-01-02T23:45:00+01:00,23.241,16.947,18.946
2024-01-02T23:00:00Z,2024-01-03T00:00:00+01:00,21.005,16.276,18.049
2024-01-02T23:15:00Z,2024-01-03T00:15:00+01:00,18.892,15.555,17.301
2024-01-02T23:30:00Z,2024-01-03T00:30:00+01:00,17.059,14.81,16.678
2024-01-02T23:45:00Z,2024-01-03T00:45:00+01:00,15.505,14.164,16.154
2024-01-03T00:00:00Z,2024-01-03T01:00:00+01:00,14.356,13.617,15.755
2024-01-03T00:15:00Z,2024-01-03T01:15:00+01:00,13.548,13.195,15.431
2024-01-03T00:30:00Z,2024-01-03T01:30:00+01:00,13.019,12.847,15.207
2024-01-03T00:45:00Z,2024-01-03T01:45:00+01:00,12.678,12.549,15.007
2024-01-03T01:00:00Z,2024-01-03T02:00:00+01:00,12.46,12.275,14.858
2024-01-03T01:15:00Z,2024-01-03T02:15:00+01:00,12.305,12.051,14.758
2024-01-03T01:30:00Z,2024-01-03T02:30:00+01:00,12.243,11.902,14.658
2024-01-03T01:45:00Z,2024-01-03T02:45:00+01:00,12.149,11.853,14.559
2024-01-03T02:00:00Z,2024-01-03T03:00:00+01:00,12.056,11.902,14.434
2024-01-03T02:15:00Z,2024-01-03T03:15:00+01:00,11.994,12.101,14.309
2024-01-03T02:30:00Z,2024-01-03T03:30:00+01:00,11.901,12.474,14.185
2024-01-03T02:45:00Z,2024-01-03T03:45:00+01:00,11.901,12.996,14.085
2024-01-03T03:00:00Z,2024-01-03T04:00:00+01:00,11.932,13.692,14.035
2024-01-03T03:15:00Z,2024-01-03T04:15:00+01:00,12.056,14.462,14.035
2024-01-03T03:30:00Z,2024-01-03T04:30:00+01:00,12.212,15.208,14.11
2024-01-03T03:45:00Z,2024-01-03T04:45:00+01:00,12.429,15.779,14.309
2024-01-03T04:00:00Z,2024-01-03T05:00:00+01:00,12.709,16.152,14.658
2024-01-03T04:15:00Z,2024-01-03T05:15:00+01:00,13.392,16.4,15.182
2024-01-03T04:30:00Z,2024-01-03T05:30:00+01:00,14.822,16.674,15.905
2024-01-03T04:45:00Z,2024-01-03T05:45:00+01:00,17.339,17.171,16.852
2024-01-03T05:00:00Z,2024-01-03T06:00:00+01:00,21.129,18.016,18.074
2024-01-03T05:15:00Z,2024-01-03T06:15:00+01:00,25.728,19.159,19.694
2024-01-03T05:30:00Z,2024-01-03T06:30:00+01:00,30.451,20.6,21.863
2024-01-03T05:45:00Z,2024-01-03T06:45:00+01:00,34.646,22.29,24.705
2024-01-03T06:00:00Z,2024-01-03T07:00:00+01:00,37.784,24.253,28.32
2024-01-03T06:15:00Z,2024-01-03T07:15:00+01:00,39.928,26.664,32.533
2024-01-03T06:30:00Z,2024-01-03T07:30:00+01:00,41.233,29.795,37.12
2024-01-03T06:45:00Z,2024-01-03T07:45:00+01:00,41.886,33.895,41.806
2024-01-03T07:00:00Z,2024-01-03T08:00:00+01:00,42.072,39.039,46.318
2024-01-03T07:15:00Z,2024-01-03T08:15:00+01:00,41.886,44.606,50.282
2024-01-03T07:30:00Z,2024-01-03T08:30:00+01:00,41.358,49.824,53.249
2024-01-03T07:45:00Z,2024-01-03T08:45:00+01:00,40.612,53.875,54.72
2024-01-03T08:00:00Z,2024-01-03T09:00:00+01:00,39.68,56.211,54.47
2024-01-03T08:15:00Z,2024-01-03T09:15:00+01:00,38.717,57.155,52.75
2024-01-03T08:30:00Z,2024-01-03T09:30:00+01:00,37.753,57.255,50.058
2024-01-03T08:45:00Z,2024-01-03T09:45:00+01:00,36.977,57.13,46.867
2024-01-03T09:00:00Z,2024-01-03T10:00:00+01:00,36.448,57.155,43.626
2024-01-03T09:15:00Z,2024-01-03T10:15:00+01:00,36.106,57.453,40.734
2024-01-03T09:30:00Z,2024-01-03T10:30:00+01:00,35.951,57.901,38.516
2024-01-03T09:45:00Z,2024-01-03T10:45:00+01:00,35.951,58.522,37.419
2024-01-03T10:00:00Z,2024-01-03T11:00:00+01:00,36.075,59.168,37.568
2024-01-03T10:15:00Z,2024-01-03T11:15:00+01:00,36.355,59.64,38.416
2024-01-03T10:30:00Z,2024-01-03T11:30:00+01:00,36.883,59.74,39.239
2024-01-03T10:45:00Z,2024-01-03T11:45:00+01:00,37.753,59.218,39.263
2024-01-03T11:00:00Z,2024-01-03T12:00:00+01:00,38.965,57.901,37.942
2024-01-03T11:15:00Z,2024-01-03T12:15:00+01:00,40.27,55.937,35.699
2024-01-03T11:30:00Z,2024-01-03T12:30:00+01:00,41.327,53.602,33.081
2024-01-03T11:45:00Z,2024-01-03T12:45:00+01:00,41.886,51.092,30.713
2024-01-03T12:00:00Z,2024-01-03T13:00:00+01:00,41.7,48.631,29.043
2024-01-03T12:15:00Z,2024-01-03T13:15:00+01:00,40.923,46.395,28.045
2024-01-03T12:30:00Z,2024-01-03T13:30:00+01:00,39.773,44.531,27.497
2024-01-03T12:45:00Z,2024-01-03T13:45:00+01:00,38.53,43.189,27.248
2024-01-03T13:00:00Z,2024-01-03T14:00:00+01:00,37.349,42.493,27.123
2024-01-03T13:15:00Z,2024-01-03T14:15:00+01:00,36.293,42.419,27.048
2024-01-03T13:30:00Z,2024-01-03T14:30:00+01:00,35.33,42.916,27.023
2024-01-03T13:45:00Z,2024-01-03T14:45:00+01:00,34.397,43.885,27.023
2024-01-03T14:00:00Z,2024-01-03T15:00:00+01:00,33.527,45.252,26.998
2024-01-03T14:15:00Z,2024-01-03T15:15:00+01:00,32.782,46.768,26.998
2024-01-03T14:30:00Z,2024-01-03T15:30:00+01:00,32.16,48.184,27.073
2024-01-03T14:45:00Z,2024-01-03T15:45:00+01:00,31.818,49.228,27.248
2024-01-03T15:00:00Z,2024-01-03T16:00:00+01:00,31.756,49.725,27.572
2024-01-03T15:15:00Z,2024-01-03T16:15:00+01:00,32.067,49.874,28.195
2024-01-03T15:30:00Z,2024-01-03T16:30:00+01:00,32.813,49.924,29.267
2024-01-03T15:45:00Z,2024-01-03T16:45:00+01:00,34.149,50.147,30.937
2024-01-03T16:00:00Z,2024-01-03T17:00:00+01:00,36.044,50.694,33.33
2024-01-03T16:15:00Z,2024-01-03T17:15:00+01:00,38.437,51.141,36.397
2024-01-03T16:30:00Z,2024-01-03T17:30:00+01:00,41.202,51.067,40.011
2024-01-03T16:45:00Z,2024-01-03T17:45:00+01:00,44.216,49.924,44.1
2024-01-03T17:00:00Z,2024-01-03T18:00:00+01:00,47.355,47.389,48.487
2024-01-03T17:15:00Z,2024-01-03T18:15:00+01:00,50.4,43.885,52.725
2024-01-03T17:30:00Z,2024-01-03T18:30:00+01:00,53.196,39.884,56.365
2024-01-03T17:45:00Z,2024-01-03T18:45:00+01:00,55.589,35.983,58.883
2024-01-03T18:00:00Z,2024-01-03T19:00:00+01:00,57.391,32.628,59.93
2024-01-03T18:15:00Z,2024-01-03T19:15:00+01:00,58.479,29.844,59.506
2024-01-03T18:30:00Z,2024-01-03T19:30:00+01:00,58.696,27.658,57.711
2024-01-03T18:45:00Z,2024-01-03T19:45:00+01:00,57.919,25.993,54.72
2024-01-03T19:00:00Z,2024-01-03T20:00:00+01:00,56.148,24.85,50.706
2024-01-03T19:15:00Z,2024-01-03T20:15:00+01:00,53.663,24.029,46.094
2024-01-03T19:30:00Z,2024-01-03T20:30:00+01:00,50.928,23.383,41.407
2024-01-03T19:45:00Z,2024-01-03T20:45:00+01:00,48.349,22.762,37.169
2024-01-03T20:00:00Z,2024-01-03T21:00:00+01:00,46.267,21.992,33.804
2024-01-03T20:15:00Z,2024-01-03T21:15:00+01:00,44.558,21.172,31.211
2024-01-03T20:30:00Z,2024-01-03T21:30:00+01:00,43.005,20.401,29.242
2024-01-03T20:45:00Z,2024-01-03T21:45:00+01:00,41.389,19.73,27.721
2024-01-03T21:00:00Z,2024-01-03T22:00:00+01:00,39.524,19.283,26.45
2024-01-03T21:15:00Z,2024-01-03T22:15:00+01:00,37.443,18.985,25.353
2024-01-03T21:30:00Z,2024-01-03T22:30:00+01:00,35.205,18.786,24.356
2024-01-03T21:45:00Z,2024-01-03T22:45:00+01:00,32.844,18.562,23.334
2024-01-03T22:00:00Z,2024-01-03T23:00:00+01:00,30.451,18.314,22.212
2024-01-03T22:15:00Z,2024-01-03T23:15:00+01:00,28.028,17.966,21.09
2024-01-03T22:30:00Z,2024-01-03T23:30:00+01:00,25.635,17.519,19.968
2024-01-03T22:45:00Z,2024-01-03T23:45:00+01:00,23.273,16.947,18.946
2024-01-03T23:00:00Z,2024-01-04T00:00:00+01:00,21.032,16.276,18.049
2024-01-03T23:15:00Z,2024-01-04T00:15:00+01:00,18.917,15.555,17.301
2024-01-03T23:30:00Z,2024-01-04T00:30:00+01:00,17.081,14.81,16.678
2024-01-03T23:45:00Z,2024-01-04T00:45:00+01:00,15.525,14.164,16.154
2024-01-04T00:00:00Z,2024-01-04T01:00:00+01:00,14.374,13.617,15.755
2024-01-04T00:15:00Z,2024-01-04T01:15:00+01:00,13.565,13.195,15.431
2024-01-04T00:30:00Z,2024-01-04T01:30:00+01:00,13.036,12.847,15.207
2024-01-04T00:45:00Z,2024-01-04T01:45:00+01:00,12.694,12.549,15.007
2024-01-04T01:00:00Z,2024-01-04T02:00:00+01:00,12.476,12.275,14.858
2024-01-04T01:15:00Z,2024-01-04T02:15:00+01:00,12.321,12.051,14.758
2024-01-04T01:30:00Z,2024-01-04T02:30:00+01:00,12.259,11.902,14.658
2024-01-04T01:45:00Z,2024-01-04T02:45:00+01:00,12.165,11.853,14.559
2024-01-04T02:00:00Z,2024-01-04T03:00:00+01:00,12.072,11.902,14.434
2024-01-04T02:15:00Z,2024-01-04T03:15:00+01:00,12.01,12.101,14.309
2024-01-04T02:30:00Z,2024-01-04T03:30:00+01:00,11.916,12.474,14.185
2024-01-04T02:45:00Z,2024-01-04T03:45:00+01:00,11.916,12.996,14.085
2024-01-04T03:00:00Z,2024-01-04T04:00:00+01:00,11.947,13.692,14.035
2024-01-04T03:15:00Z,2024-01-04T04:15:00+01:00,12.072,14.462,14.035
2024-01-04T03:30:00Z,2024-01-04T04:30:00+01:00,12.227,15.208,14.11
2024-01-04T03:45:00Z,2024-01-04T04:45:00+01:00,12.445,15.779,14.309
2024-01-04T04:00:00Z,2024-01-04T05:00:00+01:00,12.725,16.152,14.658
2024-01-04T04:15:00Z,2024-01-04T05:15:00+01:00,13.41,16.4,15.182
2024-01-04T04:30:00Z,2024-01-04T05:30:00+01:00,14.841,16.674,15.905
2024-01-04T04:45:00Z,2024-01-04T05:45:00+01:00,17.361,17.171,16.852
2024-01-04T05:00:00Z,2024-01-04T06:00:00+01:00,21.157,18.016,18.074
2024-01-04T05:15:00Z,2024-01-04T06:15:00+01:00,25.762,19.159,19.694
2024-01-04T05:30:00Z,2024-01-04T06:30:00+01:00,30.491,20.6,21.863
2024-01-04T05:45:00Z,2024-01-04T06:45:00+01:00,34.691,22.29,24.705
