seed,score,portfolio_nmae,annual_actual_energy_mwh,annual_energy_bias,imbalance_settlement_eur,imbalance_settlement_eur_mwh,imbalance_premium_eur,imbalance_premium_eur_mwh,minimum_actual_factor,maximum_actual_factor,clipped_quarter_hours,unhedged_monthly_price_std,coarse_monthly_price_std,granular_monthly_price_std
26,0.66981156,0.01868764,43138.0,0.0032093,23528.23057533,0.54541774,8948.15183982,0.20743085,0.80604287,1.21998894,0,20.22604198,2.47591193,18.69944342
43,0.68009786,0.01900252,43138.0,0.0032093,23860.39339189,0.55311775,7842.01648314,0.18178906,0.80275352,1.20897679,0,19.97868389,2.20588763,18.50361359
45,0.68133887,0.01932193,43138.0,0.0032093,16864.52722842,0.39094365,6858.76928602,0.158996,0.80437009,1.23392323,0,19.65822171,1.99647199,18.16554107
114,0.68157832,0.01955044,43138.0,0.0032093,14775.72140231,0.34252217,6165.15021542,0.14291692,0.80389947,1.19822132,0,19.93749791,2.08528003,18.57264162
385,0.68520744,0.01880938,43138.0,0.0032093,13121.02598642,0.30416399,8348.10657641,0.19352095,0.77289289,1.22643621,0,19.5978551,1.80584723,18.134425
281,0.69239908,0.01901838,43138.0,0.0032093,16184.6142683,0.3751823,7608.41057911,0.17637374,0.81369225,1.20842214,0,19.9271511,2.01449706,18.38465729
423,0.69663757,0.01876429,43138.0,0.0032093,19390.44885833,0.4494981,8311.68965889,0.19267675,0.83406341,1.20169167,0,19.88882671,2.07643539,18.43910812
274,0.70018647,0.01948393,43138.0,0.0032093,11643.33701479,0.26990906,6085.03131134,0.14105965,0.78952802,1.19100112,0,19.67157829,1.63017939,18.14723251
55,0.7057597,0.01929638,43138.0,0.0032093,18947.90754359,0.43923936,6567.22206859,0.15223752,0.79168768,1.20370847,0,20.19352329,2.31161647,18.6766053
379,0.71187046,0.01946678,43138.0,0.0032093,18727.8611359,0.43413837,5960.41949067,0.13817097,0.79181274,1.19434356,0,19.89783004,2.14532112,18.43177316
209,0.71473189,0.0191336,43138.0,0.0032093,20043.70832594,0.46464158,6923.30844123,0.16049211,0.81214765,1.19694998,0,19.66211411,1.77165623,18.16988381
238,0.71647852,0.0197053,43138.0,0.0032093,23948.90666983,0.55516961,5170.59045683,0.11986162,0.77635315,1.25970265,0,20.01859398,2.31414285,18.55486728
279,0.71785568,0.01940148,43138.0,0.0032093,13525.70020532,0.31354491,6067.23524999,0.14064712,0.81458849,1.19897053,0,19.80643934,1.82700029,18.2873636
292,0.72342327,0.01921134,43138.0,0.0032093,19391.09982536,0.44951319,6557.32955083,0.1520082,0.81769717,1.2203034,0,20.01771716,2.21823097,18.58074419
453,0.72656182,0.01916032,43138.0,0.0032093,16274.25842046,0.37726038,6663.99695711,0.1544809,0.79808386,1.21513994,0,19.75404832,1.9706805,18.2496364
334,0.72801816,0.01945411,43138.0,0.0032093,16059.26996103,0.37227665,5754.86837861,0.13340601,0.8294968,1.25657241,0,19.92172663,2.12998925,18.34950114
172,0.72820433,0.01906196,43138.0,0.0032093,15080.89555022,0.34959654,6936.19957596,0.16079094,0.81037709,1.185373,0,19.79175161,1.94502334,18.23266473
8,0.72952381,0.01940704,43138.0005319,0.00320931,14723.0030756,0.34130008,5874.26473548,0.13617378,0.75,1.21436748,1,19.81214204,2.04958894,18.32556606
243,0.73980739,0.01896009,43138.0,0.0032093,19441.37208147,0.45067857,7068.64226719,0.16386115,0.823368,1.20176537,0,20.01499901,2.16840458,18.56980805
15,0.74191735,0.01883115,43138.0,0.0032093,23530.73467342,0.54547579,7426.12381727,0.17214808,0.8166403,1.20264449,0,20.14631213,2.270885,18.70791383
255,0.75011739,0.01932338,43138.0,0.0032093,17440.38195268,0.40429278,5815.95758282,0.13482214,0.77043672,1.18620568,0,19.75226362,2.09081779,18.37298518
350,0.76073746,0.01840815,43138.0,0.0032093,15028.08561016,0.34837233,8419.30637274,0.19517146,0.81571581,1.20395701,0,19.77763357,2.02679958,18.2602282
487,0.7619246,0.01921223,43138.00281614,0.00320937,25037.76149864,0.58041077,5973.31673298,0.13846994,0.75,1.21754456,3,20.15561961,2.49611821,18.75575747
40,0.76224073,0.0190724,43138.0,0.0032093,12418.61589213,0.28788112,6390.79490703,0.14814769,0.83070579,1.2205397,0,19.88093538,1.9869878,18.4756175
194,0.76328212,0.01925067,43138.0,0.0032093,14235.7111909,0.33000397,5836.74847111,0.1353041,0.80667197,1.21917153,0,19.50142906,1.86947597,18.08802012
106,0.76405935,0.01873524,43138.0,0.0032093,18511.08450697,0.42911318,7381.45879675,0.17111268,0.80632819,1.23234664,0,19.96898506,1.90757981,18.46936728
269,0.76559282,0.01948555,43138.0,0.0032093,26216.31844472,0.60773143,5092.62784234,0.11805433,0.82062695,1.20693202,0,20.01854967,2.36238605,18.65197813
205,0.77109463,0.01908215,43138.0,0.0032093,17137.60728361,0.39727403,6227.68067694,0.14436647,0.82562847,1.22128086,0,19.75172456,1.82805783,18.27937003
1,0.77135789,0.0194322,43138.0,0.0032093,17518.46370746,0.40610283,5166.67028633,0.11977074,0.79815806,1.22771054,0,20.10663491,2.40494061,18.72335136
104,0.77183333,0.01878601,43138.0,0.0032093,24338.30456999,0.56419641,7110.77091503,0.16483775,0.80995447,1.18894257,0,20.44757532,2.66718059,18.95921979
452,0.77580401,0.0188288,43138.0,0.0032093,17096.82058417,0.39632854,6921.5955099,0.1604524,0.81291032,1.20703938,0,19.71979673,1.8537902,18.22455711
357,0.77691968,0.01902112,43138.0,0.0032093,17630.4049957,0.40869778,6324.03061958,0.1466,0.8156746,1.20978156,0,19.78066377,1.85984415,18.33235917
475,0.7786088,0.01932471,43138.0,0.0032093,16201.92280575,0.37558354,5381.78676772,0.12475745,0.75618609,1.18575911,0,19.83760871,2.15967412,18.36336069
327,0.77889811,0.01951673,43138.0,0.0032093,21545.09999461,0.49944596,4797.58082457,0.11121473,0.7950091,1.18528487,0,19.8526509,2.16448094,18.40785658
117,0.7832184,0.01888074,43138.0,0.0032093,15100.58711042,0.35005302,6652.80501997,0.15422145,0.80622272,1.22292502,0,19.68695138,2.1098561,18.24061515
360,0.78813504,0.01953193,43138.0,0.0032093,19858.91122757,0.46035772,4612.21000093,0.10691757,0.81577258,1.19841935,0,19.84692833,2.02136957,18.39955517
185,0.79117635,0.01870557,43138.0,0.0032093,14805.43121011,0.34321089,7061.62917994,0.16369858,0.81814193,1.21075579,0,19.48074158,1.59981684,18.05272925
210,0.79713484,0.01918551,43138.0,0.0032093,20523.85809954,0.47577213,5522.40206737,0.12801711,0.79582041,1.18630136,0,19.74466047,2.0497327,18.28074108
93,0.79718387,0.01912625,43138.0,0.0032093,14268.63286074,0.33076714,5700.60878892,0.13214819,0.81100788,1.20227135,0,19.6455005,1.80633157,18.24268075
190,0.80165869,0.01866151,43138.0,0.0032093,14974.37357391,0.34712721,7036.39972749,0.16311372,0.82327026,1.2182858,0,19.87897611,2.0777375,18.47270117
458,0.80367224,0.018596,43138.0,0.0032093,23795.50973102,0.55161365,7203.82584365,0.1669949,0.80791472,1.20876186,0,19.98989175,2.33285467,18.54811754
374,0.81108769,0.01914683,43138.0,0.0032093,13089.63479097,0.30343629,5428.5309327,0.12584104,0.81417069,1.20316989,0,19.77476665,2.03351706,18.29576459
414,0.81941144,0.01908466,43138.0,0.0032093,21650.51558108,0.50188965,5490.58686164,0.12727959,0.80639299,1.20234411,0,20.00515023,2.26446809,18.55373188
303,0.8204765,0.0192718,43138.0,0.0032093,19662.02648412,0.45579365,4909.41186392,0.11380713,0.80573953,1.20825549,0,20.06667138,2.45880682,18.66330405
182,0.82103558,0.01935183,43138.0,0.0032093,11105.173935,0.25743368,4659.32555547,0.10800977,0.78192079,1.20220934,0,19.48195339,1.59138672,18.03845961
275,0.82807718,0.01931141,43138.0,0.0032093,19044.37767731,0.44147568,4675.05109888,0.10837431,0.8037472,1.22692323,0,20.03174017,2.24253456,18.59642434
477,0.83070031,0.01884838,43138.0,0.0032093,21503.90330186,0.49849097,6033.63770433,0.13986828,0.80170788,1.21965628,0,20.01522639,2.33006938,18.61368275
186,0.83310162,0.01916024,43138.0,0.0032093,10135.84436688,0.23496324,5055.66557454,0.1171975,0.82101659,1.211584,0,19.81437648,1.90285102,18.32483531
203,0.84159507,0.01931022,43138.0,0.0032093,17745.01626911,0.41135464,4474.53476226,0.10372606,0.81748799,1.20312314,0,19.92136223,2.22315287,18.41198534
30,0.84547745,0.01887735,43138.0,0.0032093,16878.63213549,0.39127062,5723.04896596,0.13266839,0.79067347,1.2032015,0,19.65278935,1.87312907,18.23761833
74,0.84599721,0.01922259,43138.0,0.0032093,11865.08681505,0.27504953,4672.69795176,0.10831976,0.82073274,1.19824771,0,19.93905994,2.17406261,18.55109714
264,0.85334304,0.01860441,43138.0,0.0032093,12966.23502995,0.30057571,6428.4887235,0.14902148,0.81577843,1.2140176,0,19.92067094,1.8467374,18.40144168
37,0.85888205,0.0187163,43138.0,0.0032093,21078.93352268,0.48863956,6006.98377196,0.1392504,0.78587693,1.22966329,0,19.79724893,1.95115751,18.35425743
216,0.86068999,0.01880625,43138.0,0.0032093,21425.42228068,0.49667166,5708.07127172,0.13232118,0.81046137,1.20543589,0,19.92404128,2.39753677,18.5487302
478,0.86206458,0.01914741,43138.0,0.0032093,20815.54583019,0.48253386,4657.12102208,0.10795867,0.81758532,1.19960611,0,20.14205907,2.33519276,18.696824
89,0.86217834,0.01797991,43138.0,0.0032093,23434.55809735,0.54324628,8180.84610335,0.18964361,0.8082535,1.21293987,0,20.06812902,2.23374929,18.51216711
435,0.86328261,0.01903279,43138.0,0.0032093,18940.41431649,0.43906566,4984.83996691,0.11555566,0.81262154,1.22230869,0,20.02553007,2.07375053,18.57445518
451,0.86331355,0.01904372,43138.0,0.0032093,24484.319969,0.56758125,4951.36985748,0.11477977,0.79854054,1.22036241,0,20.15281957,2.51692225,18.61655076
122,0.86678055,0.01919184,43138.0,0.0032093,16743.92267078,0.38814787,4451.74930913,0.10319786,0.80097981,1.22981932,0,19.81301505,2.20131318,18.4470847
105,0.8677451,0.01898347,43138.0,0.0032093,16872.23196958,0.39112226,5066.40516615,0.11744645,0.82857855,1.21239013,0,19.91163872,2.03329855,18.45127362
7,0.86978956,0.01885636,43138.0,0.0032093,19027.87439245,0.44109311,5419.34715054,0.12562815,0.76446927,1.23309758,0,19.88401721,2.27928273,18.51432374
359,0.87399211,0.0191934,43138.0,0.0032093,18298.40436136,0.42418296,4338.16715805,0.10056487,0.7899983,1.20302844,0,20.08210169,2.20574234,18.61976501
5,0.874849,0.01895865,43138.0,0.0032093,17577.70033545,0.40747602,5034.09616087,0.11669749,0.7939601,1.19380488,0,20.0672223,2.27842164,18.6491225
325,0.88954889,0.01909886,43138.0,0.0032093,17223.55229655,0.39926636,4388.74847093,0.10173741,0.82247325,1.23212229,0,20.13453903,2.31188535,18.73421626
244,0.89062742,0.01879669,43138.0,0.0032093,17476.55448879,0.40513131,5284.91721698,0.12251187,0.81440712,1.19750273,0,19.91829823,2.16310674,18.57345252
202,0.89273093,0.01908282,43138.0,0.0032093,17294.66908742,0.40091495,4389.14675292,0.10174664,0.81845562,1.18881066,0,19.90374049,1.99987355,18.51365329
353,0.89529347,0.01846358,43138.0,0.0032093,15878.45578708,0.36808512,6220.36818172,0.14419695,0.8140658,1.19572576,0,19.90524881,2.05628226,18.42057085
230,0.89717234,0.01838249,43138.0,0.0032093,17872.45106485,0.41430875,6436.84429263,0.14921518,0.82820564,1.20300606,0,20.00326122,2.28441359,18.49668972
361,0.89821542,0.01873893,43138.0,0.0032093,19037.87538809,0.44132494,5344.7775288,0.12389952,0.81923115,1.20792897,0,20.08428527,2.34885446,18.55128622
465,0.89876437,0.01867975,43138.0,0.0032093,16187.67022672,0.37525315,5515.18821731,0.12784988,0.76718395,1.18947769,0,19.93746109,2.39515051,18.57956339
450,0.89942244,0.0189078,43138.0,0.0032093,13559.47230092,0.31432779,4816.6359165,0.11165645,0.79697267,1.21124602,0,19.78792293,1.82390057,18.3354184
330,0.90101929,0.01895046,43138.0,0.0032093,20834.61418143,0.4829759,4663.69895573,0.10811115,0.8208338,1.21853933,0,19.93569691,2.17538073,18.52439852
120,0.90277932,0.0181569,43138.0,0.0032093,20549.05800905,0.4763563,7033.39018729,0.16304396,0.81389537,1.22434003,0,20.01806308,2.16647499,18.4988971
304,0.90544966,0.01898541,43138.0,0.0032093,14553.74168196,0.33737637,4491.26906258,0.10411398,0.8042534,1.19480889,0,19.93430185,2.11573851,18.42398383
81,0.90743748,0.01879508,43138.0,0.0032093,7989.28546189,0.18520296,5035.98064866,0.11674117,0.80956503,1.22140263,0,19.74854075,1.7576716,18.27335331
251,0.91035915,0.0189664,43138.0,0.0032093,13450.50648541,0.31180181,4474.54489814,0.10372629,0.82452202,1.20378313,0,19.89414923,2.08481288,18.45662882
437,0.92476586,0.01882956,43138.0,0.0032093,20995.13352716,0.48669696,4670.23857217,0.10826275,0.8074986,1.20842405,0,20.36007231,2.62313559,18.90073701
329,0.9273551,0.01875623,43138.0,0.0032093,13532.63672152,0.31370571,4852.57118631,0.11248948,0.80159101,1.23047068,0,20.08963251,2.26572984,18.59969885
80,0.93184954,0.01890771,43138.0,0.0032093,16323.28276226,0.37839684,4327.29780759,0.1003129,0.81351358,1.19182038,0,19.99796583,2.19338472,18.58081816
98,0.93782223,0.01822572,43138.0,0.0032093,16834.7597794,0.3902536,6296.49071036,0.14596158,0.82733441,1.21003815,0,19.51798224,1.74840564,18.04213854
33,0.95481593,0.01869002,43138.0,0.0032093,21158.87762294,0.49049278,4637.90938498,0.10751332,0.82337388,1.21356468,0,20.12005579,2.41631427,18.76428121
340,0.99869561,0.01836008,43138.0,0.0032093,13862.31570384,0.32134813,4971.68340787,0.11525067,0.82766693,1.23375722,0,19.82662411,2.01339431,18.36362748
83,1.03048727,0.01831394,43138.0,0.0032093,17299.55033954,0.4010281,4631.02050931,0.10735362,0.79151705,1.20183875,0,19.74469008,1.67268588,18.29697426
320,20.82512181,0.01971427,43138.0,0.0032093,15363.64456513,0.35615106,4212.47038968,0.09765104,0.8125243,1.22682634,0,19.92154666,2.11107105,18.43855531
322,20.92420195,0.01917521,43138.0,0.0032093,16997.73677506,0.39403164,4228.95006793,0.09803306,0.82510083,1.22080199,0,20.00621459,2.31641398,18.62557
355,20.97368344,0.01927165,43138.0,0.0032093,12271.00314641,0.28445925,4099.16461264,0.09502445,0.79018488,1.18408168,0,20.05756175,2.26226598,18.65467656
184,20.97673982,0.01895198,43138.0,0.0032093,17347.54957973,0.40214079,4214.05758908,0.09768783,0.81913558,1.19582873,0,19.78569665,2.12464892,18.32639802
66,20.97909384,0.01894499,43138.0,0.0032093,20563.29725443,0.47668638,4212.25339118,0.09764601,0.79614814,1.21766718,0,20.22160242,2.53813429,18.71826674
270,20.9984765,0.01861591,43138.0,0.0032093,15461.25487223,0.35841381,4299.88561397,0.09967744,0.79469057,1.21259561,0,19.9421573,2.04013592,18.50023271
485,21.03076122,0.01911932,43138.0,0.0032093,10677.26830306,0.24751422,4048.94089213,0.09386019,0.81574414,1.18422238,0,19.80976797,1.91335024,18.39114057
178,21.03541404,0.01926101,43138.0,0.0032093,13936.40350879,0.32306559,3986.67711619,0.09241683,0.79207145,1.20385407,0,19.98628797,2.02081196,18.51962749
50,21.05357618,0.01930335,43138.0,0.0032093,10931.56055109,0.25340907,3936.41643994,0.09125171,0.80660884,1.21720071,0,19.85008002,1.87403233,18.39605114
394,21.06836493,0.01964801,43138.0,0.0032093,14927.67898968,0.34604476,3778.41317276,0.08758897,0.80727579,1.19263761,0,19.85592095,2.27063718,18.54252097
416,21.07659091,0.01914957,43138.0,0.0032093,15462.10074474,0.35843342,3951.02719483,0.09159041,0.81645491,1.19222028,0,20.18215041,2.50520285,18.76409937
119,21.09446327,0.01884669,43138.0,0.0032093,20017.14276269,0.46402575,4031.62238828,0.09345872,0.79518638,1.25204701,0,20.41318635,2.84520881,19.11387532
287,21.14339758,0.01904927,43138.0,0.0032093,14528.54196437,0.3367922,3862.80290963,0.08954525,0.81436027,1.21895965,0,19.68128688,2.02077525,18.30048077
77,21.15122571,0.01898809,43138.0,0.0032093,14643.1786612,0.33944964,3871.12104011,0.08973807,0.81487708,1.18553337,0,19.9828367,2.25304151,18.56587777
214,21.18881568,0.01906654,43138.0,0.0032093,11378.36874062,0.26376672,3770.56685616,0.08740709,0.79818326,1.200125,0,19.85133454,2.13485967,18.44841865
218,21.19261697,0.01951191,43138.0,0.0032093,12320.70035942,0.2856113,3595.28360677,0.08334377,0.79567259,1.21649678,0,20.14106378,2.25448481,18.71111581
371,21.20957264,0.01891473,43138.0,0.0032093,18101.68873681,0.41962281,3788.69361593,0.08782729,0.81159203,1.20521714,0,20.00502418,2.178942,18.62142921
192,21.2105757,0.01901811,43138.0,0.0032093,17964.32957371,0.41643863,3747.77945048,0.08687884,0.81180943,1.20596334,0,19.82645344,2.05641627,18.44250885
260,21.23780167,0.01897338,43138.0,0.0032093,17319.71063566,0.40149545,3713.28091128,0.08607912,0.79421693,1.20208788,0,20.10989951,2.31145947,18.69715767
138,21.24991606,0.01937418,43138.0,0.0032093,13307.47318421,0.3084861,3539.13070052,0.08204207,0.82014619,1.22487954,0,19.97927756,2.29478914,18.59979427
460,21.26498374,0.01926073,43138.0,0.0032093,6219.72420712,0.14418203,3553.51584627,0.08237554,0.80558191,1.22564238,0,19.47236362,1.71484966,18.00783796
277,21.26608393,0.01914877,43138.0,0.0032093,10495.76355803,0.24330668,3593.70070664,0.08330708,0.80532939,1.18957453,0,20.08059919,2.12316945,18.57551439
