month,hour,historical_shape_factor
5,10,0.91209461
5,11,0.90373212
5,12,0.8498621399999999
5,13,0.77732242
5,14,0.75593001
5,15,0.73842713
5,16,0.78821311
5,17,0.8531682400000001
5,18,0.9509899099999999
5,19,1.05795196
5,20,1.09490249
5,21,1.06962055
5,22,0.99610844
5,23,0.8805894299999999
6,0,1.16549744
6,1,1.09898649
6,2,1.07448246
6,3,1.03782365
6,4,1.06495311
6,5,1.12212919
6,6,1.25485938
6,7,1.51059593
6,8,1.44009821
6,9,1.12942206
6,10,1.03724022
6,11,1.03053078
6,12,0.9511843800000002
6,13,0.93854341
6,14,0.93329255
6,15,0.9760773700000002
6,16,1.03724022
6,17,1.32973282
6,18,1.49241238
6,19,1.59412357
6,20,1.59198433
6,21,1.53801711
6,22,1.45118337
6,23,1.22666029
7,0,0.82166306
7,1,0.7710991800000001
7,2,0.7483454299999999
7,3,0.74173323
7,4,0.74212218
7,5,0.76895994
7,6,0.94107161
7,7,1.14624427
7,8,1.13574255
7,9,1.12310158
7,10,1.02644677
7,11,0.99085758
7,12,0.9305698800000001
7,13,0.8891463899999998
7,14,0.8774778
7,15,0.87767228
7,16,0.89459173
7,17,1.03014183
7,18,1.20672645
7,19,1.35316723
7,20,1.27790484
7,21,1.15557914
7,22,1.06962055
7,23,0.89264697
8,0,1.00816599
8,1,0.86668436
8,2,0.76050021
8,3,0.73113426
8,4,0.7351210300000001
8,5,0.98152271
8,6,1.32807977
8,7,1.5157495499999998
8,8,1.5168191799999997
8,9,1.43883411
8,10,1.28373913
8,11,1.08819305
8,12,1.14177132
8,13,1.00281788
8,14,0.93290359
8,15,1.05056185
8,16,1.08060847
8,17,1.27090369
8,18,1.45429499
8,19,1.70079391
8,20,1.69457066
8,21,1.5351971999999998
8,22,1.43562525
8,23,1.23502278
9,0,1.23220287
9,1,1.12446291
9,2,1.12465739
9,3,1.14916142
9,4,1.20828227
9,5,1.35880705
9,6,2.17910877
9,7,2.63398922
9,8,2.61959796
9,9,1.87708682
9,10,1.34966666
9,11,1.2956022
9,12,1.15460676
9,13,1.05503481
9,14,1.01594504
9,15,1.03072526
9,16,1.36152972
9,17,1.6085148300000003
9,18,2.53966813
9,19,2.83760608
9,20,2.78840353
9,21,1.51069317
9,22,1.33430301
9,23,1.11648938
10,0,0.7040048
10,1,0.67988972
10,2,0.66005312
10,3,0.63982756
10,4,0.66374817
10,5,0.70769985
10,6,0.95137886
10,7,1.12407396
10,8,1.36716954
10,9,1.23336973
10,10,1.10054231
10,11,1.02527991
10,12,0.94710038
10,13,0.90703822
10,14,0.89711993
10,15,0.9321256900000001
10,16,1.06942607
10,17,1.19739158
10,18,1.28704523
10,19,1.32146757
10,20,1.07526037
10,21,0.9533236199999999
10,22,0.8763109399999999
10,23,0.7510681
11,0,0.91938748
11,1,0.80668837
11,2,0.79511702
11,3,0.72607788
11,4,0.75019296
11,5,0.8032850299999998
11,6,1.12349053
11,7,1.51234622
11,8,1.75369151
11,9,1.49134276
11,10,1.25573452
11,11,1.25962405
11,12,1.26001301
11,13,1.22578515
11,14,1.3716425
11,15,1.6656909099999997
11,16,1.89371456
11,17,2.42871931
11,18,2.47315718
11,19,2.15732741
11,20,1.7607899
11,21,1.51030421
11,22,1.42580419
11,23,0.98035585
12,0,0.78636558
12,1,0.7543741999999999
12,2,0.72121596
12,3,0.69671193
12,4,0.70585232
12,5,0.7891854899999999
12,6,0.97802213
12,7,1.26565282
12,8,1.36882259
12,9,1.33226101
12,10,1.28928171
12,11,1.2274382
12,12,1.19262691
12,13,1.17862461
12,14,1.28908724
12,15,1.2831557
12,16,1.39789682
12,17,1.5261540499999997
12,18,1.38370004
12,19,1.27809932
12,20,1.12883863
12,21,1.00592951
12,22,0.9585744900000001
12,23,0.86046111
